id,p1,p2,winner,score,turns,time
216280776,0,0,2,25,99,1258522
216280776,0,0,1,25,107,1537460
216280776,0,0,1,25,88,1076964
216280776,0,0,2,27,143,1961291
216280776,0,0,1,25,123,1489892
216280775,0,0,2,25,68,698801
216280775,0,0,2,25,106,1405640
216280775,0,0,2,25,73,954592
216280775,0,0,2,25,80,1004602
216280775,0,0,1,25,98,1353086
216280774,0,0,2,32,66,756103
216280774,0,0,2,25,64,768135
216280774,0,0,2,25,90,1137237
216280774,0,0,2,25,69,841454
216280774,0,0,2,29,74,860974
216280774,0,0,2,30,73,902898
216280773,0,0,2,26,92,1073707
216280773,0,0,2,25,74,908941
216280773,0,0,2,25,70,748175
216280773,0,0,1,30,86,1040733
216280773,0,0,2,28,71,846525
216280772,0,0,2,31,96,1201264
216280772,0,0,2,29,98,1242040
216280772,0,0,1,28,77,929568
216280772,0,0,2,25,93,1105054
216280772,0,0,1,25,122,2014463
216280772,0,0,2,31,73,830819
216280771,0,0,2,25,80,1043361
216280771,0,0,1,32,46,593614
216280771,0,0,1,25,66,758412
216280771,0,0,1,33,53,608874
216280771,0,0,2,25,95,1129519
216280770,0,0,2,25,125,1638993
216280770,0,0,2,30,81,1000636
216280770,0,0,2,27,99,1220845
216280770,0,0,1,25,102,1338765
216280770,0,0,2,27,114,1327049
216280770,0,0,2,25,89,1485948
216280770,0,0,1,25,62,792927
216280769,0,0,2,25,75,1001108
216280769,0,0,1,25,100,1395928
216280769,0,0,2,25,101,1570328
216280769,0,0,2,25,87,1161904
216280769,0,0,1,25,95,1378336
216280769,0,0,2,25,73,880923
216280769,0,0,2,25,82,1024516
216280768,0,0,1,36,51,828801
216280768,0,0,1,28,88,1062589
216280768,0,0,2,25,152,2163037
216280768,0,0,2,27,97,1246631
216280768,0,0,1,25,104,1349401
216280768,0,0,1,25,97,1198786
216280768,0,0,1,28,120,1515034
216280768,0,0,2,25,79,1060454
216280768,0,0,2,25,82,979052
216280768,0,0,1,25,125,1603819
216280768,0,0,1,25,81,1046094
216280831,0,0,1,25,116,1696398
216280831,0,0,2,31,85,1119312
216280831,0,0,2,25,74,887044
216280831,0,0,2,27,118,1506632
216280831,0,0,2,25,62,793912
216280831,0,0,1,25,138,1920849
216280831,0,0,2,29,112,1626824
216280831,0,0,2,25,55,645449
216280831,0,0,1,35,66,788108
216280831,0,0,1,25,75,1205044
216280830,0,0,2,26,134,1847593
216280830,0,0,1,29,69,893422
216280830,0,0,2,25,95,1415525
216280830,0,0,2,34,61,743999
216280830,0,0,2,25,117,1862158
216280830,0,0,1,25,94,1306855
216280830,0,0,2,25,140,1863958
216280829,0,0,2,25,96,1652922
216280829,0,0,1,29,73,978732
216280829,0,0,1,31,60,678806
216280829,0,0,1,25,83,985354
216280829,0,0,2,31,86,1056716
216280829,0,0,1,25,112,1385506
216280829,0,0,1,25,112,1528096
216280829,0,0,1,31,85,989961
216280829,0,0,1,25,114,1595502
216280829,0,0,1,25,104,1434433
216280828,0,0,1,25,56,711090
216280828,0,0,1,28,55,802569
216280828,0,0,1,25,78,1362156
216280828,0,0,2,25,118,1581919
216280828,0,0,2,25,85,1288132
216280828,0,0,1,26,170,2290767
216280828,0,0,1,25,149,2437828
216280828,0,0,1,25,88,1332764
216280828,0,0,2,25,64,761453
216280828,0,0,1,33,85,1207418
216280828,0,0,1,25,69,829183
216280827,0,0,2,28,138,2050991
216280827,0,0,1,25,71,1026302
216280827,0,0,2,25,125,1845680
216280827,0,0,2,25,91,1237868
216280827,0,0,2,27,121,1795821
216280827,0,0,2,28,63,895743
216280826,0,0,2,25,90,1249679
216280826,0,0,2,25,106,1509675
216280826,0,0,1,29,101,1369110
216280826,0,0,1,28,116,1630358
216280826,0,0,2,27,89,1151996
216280826,0,0,1,29,122,1778854
216280825,0,0,1,25,94,1381557
216280825,0,0,2,25,126,1770543
216280825,0,0,1,25,66,829760
216280825,0,0,1,27,110,1511373
216280825,0,0,2,25,72,893221
216280825,0,0,1,31,76,993229
216280824,0,0,2,34,58,759048
216280824,0,0,1,32,104,1364630
216280824,0,0,2,25,72,982472
216280824,0,0,2,28,113,1594414
216280824,0,0,2,25,69,1006061
216280824,0,0,1,26,98,1317106
216280824,0,0,1,30,78,992795
216280823,0,0,2,26,140,1991653
216280823,0,0,1,25,70,991347
216280823,0,0,2,25,64,815179
216280823,0,0,1,25,99,1349269
216280823,0,0,1,25,64,914928
216280823,0,0,2,25,110,1387262
216280822,0,0,2,33,45,603549
216280822,0,0,1,27,83,1060464
216280822,0,0,1,27,83,1141482
216280822,0,0,2,26,104,1974531
216280822,0,0,1,25,72,1031793
216280822,0,0,1,25,72,867448
216280822,0,0,2,25,111,1486147
216280822,0,0,1,32,91,1198389
216280821,0,0,1,27,137,1888293
216280821,0,0,2,25,93,1176036
216280821,0,0,2,25,148,2553441
216280821,0,0,2,29,66,895149
216280821,0,0,1,27,90,1085351
216280821,0,0,2,25,69,912780
216280820,0,0,2,25,109,1280505
216280820,0,0,1,25,65,762709
216280820,0,0,2,34,94,1267635
216280820,0,0,1,25,98,1290209
216280820,0,0,1,26,50,657990
216280820,0,0,2,29,66,914598
216280820,0,0,2,25,88,1131608
216280819,0,0,1,29,57,714504
216280819,0,0,2,25,97,1212325
216280819,0,0,1,31,64,761062
216280819,0,0,1,25,88,1046629
216280819,0,0,2,30,51,671086
216280819,0,0,2,29,85,1125888
216280818,0,0,2,26,59,845787
216280818,0,0,1,26,79,1238805
216280818,0,0,1,25,88,1297406
216280818,0,0,2,33,51,630865
216280818,0,0,1,28,92,1176518
216280818,0,0,1,25,107,1563580
216280817,0,0,2,25,77,1047082
216280817,0,0,2,31,55,644637
216280817,0,0,2,27,105,1359678
216280817,0,0,1,30,63,848283
216280817,0,0,1,34,60,915480
216280817,0,0,2,25,107,1743919
